time,online
01/01/2013,566.90
01/02/2013,554.20
01/03/2013,592.80
01/04/2013,575.20
01/05/2013,584.00
01/06/2013,585.80
01/07/2013,584.00
01/08/2013,576.20
01/09/2013,606.20
01/10/2013,662.60
01/11/2013,827.00
01/12/2013,960.40
01/01/2014,629.40
01/02/2014,620.20
01/03/2014,646.70
01/04/2014,661.50
01/05/2014,680.80
01/06/2014,673.40
01/07/2014,670.60
01/08/2014,655.00
01/09/2014,667.50
01/10/2014,742.20
01/11/2014,989.90
01/12/2014,1067.40
01/01/2015,750.90
01/02/2015,691.00
01/03/2015,727.70
01/04/2015,756.30
01/05/2015,744.60
01/06/2015,766.80
01/07/2015,758.90
01/08/2015,711.90
01/09/2015,763.70
01/10/2015,828.40
01/11/2015,1137.70
01/12/2015,1157.20
01/01/2016,854.40
01/02/2016,776.50
01/03/2016,811.70
01/04/2016,854.00
01/05/2016,890.50
01/06/2016,898.50
01/07/2016,894.20
01/08/2016,879.60
01/09/2016,960.50
01/10/2016,1076.80
01/11/2016,1460.50
01/12/2016,1505.60
01/01/2017,992.40
01/02/2017,949.00
01/03/2017,1009.10
01/04/2017,1042.70
01/05/2017,1043.10
01/06/2017,1078.90
01/07/2017,1074.40
01/08/2017,1046.70
01/09/2017,1090.70
01/10/2017,1179.70
01/11/2017,1608.00
01/12/2017,1641.60
01/01/2018,1126.90
01/02/2018,1093.90
01/03/2018,1175.70
01/04/2018,1178.20
01/05/2018,1264.20
01/06/2018,1248.50
01/07/2018,1246.30
01/08/2018,1194.70
01/09/2018,1220.70
01/10/2018,1333.40
01/11/2018,1816.50
01/12/2018,1862.10
01/01/2019,1283.90
01/02/2019,1247.10
01/03/2019,1348.80
01/04/2019,1339.80
01/05/2019,1368.80
